2940 1665740705
2260 1665740709
6140 1665740812
3100 1665740846
640 1665740873
660 1665740898
40 1665740904
60 1665740915
600 1665740926
280 1665741017
480 1665741022
240 1665741067
1880 1665741084
1760 1665741086
420 1665741108
1020 1665741203
1580 1665741206
3620 1665741252
2700 1665741351
1300 1665741418
2940 1665741420
8300 1665741496
1620 1665741503
1400 1665741540
900 1665741553
180 1665741578
880 1665741606
1280 1665741684
4000 1665741693
280 1665741747
720 1665741854
15220 1665742007
2780 1665742025
620 1665742054
2140 1665742058
2800 1665742064
1540 1665742270
320 1665742381
4200 1665742459
280 1665742585
340 1665742604
1880 1665742647
6380 1665742720
6140 1665742727
1640 1665742777
2680 1665742798
2180 1665742809
4800 1665742849
6040 1665742884
1840 1665742885
1200 1665742929
4240 1665742972
540 1665743035
3240 1665743039
380 1665743169
5740 1665743198
1080 1665743333
260 1665743375
300 1665743458
440 1665743556
280 1665743565
4260 1665743584
2260 1665743754
1180 1665743771
1680 1665743821
1720 1665743873
2640 1665743882
580 1665743938
320 1665743985
1960 1665744014
2140 1665744023
800 1665744126
2520 1665744185
2560 1665744250
660 1665744259
3580 1665744261
820 1665744302
6700 1665744340
1920 1665744380
860 1665744384
1120 1665744412
1140 1665744414
2620 1665744423
180 1665744570
5140 1665744718
1780 1665744746
3220 1665744812
2920 1665744825
1020 1665744826
80 1665744894
200 1665744895
560 1665744901
2360 1665744972
2480 1665744984
720 1665745023
7160 1665745069
1280 1665745100
220 1665745124
8240 1665745190
5680 1665745227
420 1665745291
40 1665745291
420 1665745293
340 1665745293
180 1665745293
40 1665745293
420 1665745293
180 1665745293
40 1665745294
80 1665745294
420 1665745294
380 1665745294
420 1665745294
180 1665745294
180 1665745294
340 1665745294
40 1665745294
160 1665745321
3200 1665745406
3140 1665745443
2200 1665745455
140 1665745494
6140 1665745553
2840 1665745637
200 1665745638
4140 1665745737
960 1665745834
780 1665745853
6040 1665745936
320 1665745987
420 1665746050
5100 1665746082
2600 1665746094
1840 1665746154
2420 1665746224
3700 1665746246
300 1665746250
1360 1665746335
8460 1665746340
2300 1665746428
4440 1665746456
2960 1665746458
5000 1665746511
2400 1665746570
1580 1665746633
3760 1665746657
1080 1665746827
2420 1665746931
500 1665746960
3520 1665746962
1600 1665747010
7140 1665747045
1140 1665747150
3660 1665747283
1180 1665747398
1820 1665747433
260 1665747439
1140 1665747481
360 1665747507
60 1665747594
420 1665747616
1700 1665747691
6740 1665747715
740 1665747756
6380 1665747756
2440 1665747765
40 1665747805
40 1665747805
320 1665747805
40 1665747805
340 1665747805
40 1665747805
420 1665747805
260 1665747805
60 1665747805
180 1665747805
40 1665747805
380 1665747805
60 1665747805
260 1665747805
420 1665747805
340 1665747805
1040 1665747806
40 1665747812
40 1665747812
340 1665747812
40 1665747812
320 1665747812
40 1665747812
40 1665747812
40 1665747812
20 1665747812
340 1665747812
2880 1665747822
4040 1665747926
4960 1665747983
760 1665748042
500 1665748080
3680 1665748165
2860 1665748389
5320 1665748492
1840 1665748585
420 1665748591
280 1665748627
920 1665748780
260 1665748782
2960 1665748911
380 1665749059
640 1665749217
820 1665749301
840 1665749319
1000 1665749433
1240 1665749435
1580 1665749552
700 1665749581
1640 1665749625
8340 1665749781
1360 1665749810
280 1665749837
6940 1665749969
380 1665749975
540 1665750019
580 1665750021
3220 1665750090
240 1665750166
220 1665750336
320 1665750337
2840 1665750371
2400 1665750426
440 1665750457
2840 1665750490
6400 1665750497
1180 1665750501
920 1665750571
240 1665750658
3820 1665750695
220 1665750756
380 1665750824
4520 1665750834
1540 1665750881
1560 1665750922
940 1665750949
4540 1665751009
200 1665751019
2620 1665751044
1580 1665751197
1860 1665751220
840 1665751226
280 1665751237
380 1665751258
3520 1665751265
200 1665751273
7300 1665751334
1500 1665751375
4040 1665751489
3300 1665751500
1940 1665751526
1140 1665751546
7640 1665751622
460 1665751757
1920 1665751798
7480 1665751805
1040 1665751834
300 1665751870
3460 1665751872
1140 1665751972
1860 1665751975
240 1665751980
6240 1665751982
580 1665752003
440 1665752014
340 1665752015
3640 1665752024
980 1665752084
2200 1665752099
2260 1665752261
1880 1665752285
1220 1665752307
8240 1665752356
4680 1665752449
1360 1665752509
1840 1665752529
1820 1665752590
2140 1665752645
2880 1665752703
380 1665752725
5100 1665752736
8260 1665752760
3600 1665752776
4160 1665752798
1640 1665752804
3640 1665752818
540 1665752885
1020 1665752909
400 1665752926
140 1665752981
800 1665753012
3380 1665753024
480 1665753038
640 1665753047
900 1665753049
800 1665753176
680 1665753195
240 1665753211
160 1665753232
2340 1665753330
6200 1665753384
140 1665753431
940 1665753458
240 1665753531
500 1665753550
5120 1665753609
600 1665753683
860 1665753724
2200 1665753785
2880 1665753790
280 1665753834
1880 1665753896
2660 1665753923
7600 1665753924
1120 1665754001
2500 1665754064
2940 1665754068
1820 1665754366
2620 1665754439
3080 1665754442
320 1665754569
3400 1665754633
360 1665754640
2420 1665754653
3780 1665754672
180 1665754708
840 1665754764
